Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-05-02 00:00:00-03:00,5.91492693748127,5.9445017362679895,5.756299310405807,5.793939590454102,17302200,0.0,0.0
2016-05-03 00:00:00-03:00,5.6729531111478515,5.6729531111478515,5.4955053329467765,5.495505332946777,17387000,0.0,0.0
2016-05-04 00:00:00-03:00,5.457863490786037,5.627245754729424,5.444420681880818,5.613802433013916,15545600,0.0,0.0
2016-05-05 00:00:00-03:00,5.6998386381982264,5.732101587438067,5.457863954847759,5.5170135498046875,11430800,0.0,0.0
2016-05-06 00:00:00-03:00,5.3718310421900775,5.638002795147904,5.3718310421900775,5.562722206115723,11361000,0.0,0.0
2016-05-09 00:00:00-03:00,5.549275676377425,5.565407661416149,5.162117266032667,5.444420337677002,22928400,0.0,0.0
2016-05-10 00:00:00-03:00,5.586918107623867,5.767054557800293,5.5412118288384935,5.767054557800293,30806800,0.0,0.0
2016-05-11 00:00:00-03:00,5.914926242044409,5.949877853292687,5.506258487701416,5.506258487701416,36734200,0.0,0.0
2016-05-12 00:00:00-03:00,5.4121585729292825,5.543900594559989,5.19707049991869,5.350320816040039,55622000,0.0,0.0
2016-05-13 00:00:00-03:00,5.363762465208025,5.425600202776136,5.108345009603736,5.205134868621826,27513200,0.0,0.0
2016-05-16 00:00:00-03:00,5.191691981164528,5.24277557911199,5.113722764854475,5.124476909637451,23098000,0.0,0.0
2016-05-17 00:00:00-03:00,5.070705486716719,5.102968435954073,4.866371594575596,4.8771257400512695,25254800,0.0,0.0
2016-05-18 00:00:00-03:00,4.850239610001946,5.041130159215299,4.761515226901889,4.882502555847168,24360400,0.0,0.0
2016-05-19 00:00:00-03:00,4.826043468644022,4.901324038149284,4.742696391248311,4.7668938636779785,19379800,0.0,0.0
2016-05-20 00:00:00-03:00,4.839486911081299,4.87443853535805,4.65397310256958,4.65397310256958,16166200,0.0,0.0
2016-05-23 00:00:00-03:00,4.581380441766669,4.635152202104109,4.527608168618826,4.5706257820129395,17438600,0.0,0.0
2016-05-24 00:00:00-03:00,4.682730525881448,4.7477683852426535,4.330441474914551,4.330441474914551,54938200,0.066842,0.0
2016-05-25 00:00:00-03:00,4.335862628235854,4.53910618893441,4.333152652068194,4.457808971405029,40225800,0.0,0.0
2016-05-27 00:00:00-03:00,4.525554440549737,4.563493053157694,4.297921472714919,4.371088981628418,16056000,0.0,0.0
2016-05-30 00:00:00-03:00,4.419868839833267,4.512005941560323,4.381930215666239,4.446968078613281,9085800,0.0,0.0
2016-05-31 00:00:00-03:00,4.430709073403227,4.585174074062004,4.3277323201515365,4.46322774887085,26358600,0.0,0.0
2016-06-01 00:00:00-03:00,4.438838376805555,4.517426121561659,4.365671100330062,4.490326881408691,21501400,0.0,0.0
2016-06-02 00:00:00-03:00,4.514715541361389,4.579753398895264,4.406319112138266,4.579753398895264,20070000,0.0,0.0
2016-06-03 00:00:00-03:00,4.614981722002231,4.712538232120627,4.566203208505606,4.6881489753723145,19103800,0.0,0.0
2016-06-06 00:00:00-03:00,4.701701204534572,4.761319130405071,4.590594764531531,4.639373302459717,16916800,0.0,0.0
2016-06-07 00:00:00-03:00,4.593302100300708,4.712537883499653,4.566202870710106,4.585172176361084,14297000,0.0,0.0
2016-06-08 00:00:00-03:00,4.628535114871341,4.769450828528211,4.6258251376615585,4.72880220413208,17787000,0.0,0.0
2016-06-09 00:00:00-03:00,4.690862646640251,4.753191083487055,4.628534726668706,4.715251922607422,21393000,0.0,0.0
2016-06-10 00:00:00-03:00,4.650211563720253,4.6746008267751655,4.4849066734313965,4.4849066734313965,19733400,0.0,0.0
2016-06-13 00:00:00-03:00,4.433416751241408,4.566202393804599,4.406317524481118,4.522843837738037,13732800,0.0,0.0
2016-06-14 00:00:00-03:00,4.5440916291690945,4.598741168469415,4.344621696723202,4.402003765106201,17629800,0.068878,0.0
2016-06-15 00:00:00-03:00,4.434794768009487,4.470317138494634,4.262649539369936,4.399272918701172,24911400,0.0,0.0
2016-06-16 00:00:00-03:00,4.366480872766054,4.451187700411996,4.251717531837918,4.423862934112549,20292000,0.0,0.0
2016-06-17 00:00:00-03:00,4.462118680491699,4.557755131663271,4.371947288513184,4.371947288513184,26122800,0.0,0.0
2016-06-20 00:00:00-03:00,4.503105765072235,4.587812622476531,4.47304898064251,4.533163070678711,27547400,0.0,0.0
2016-06-21 00:00:00-03:00,4.358283347692092,4.385607852152983,4.303634078182038,4.330958843231201,40189200,0.0,0.0
2016-06-22 00:00:00-03:00,4.369213728965445,4.432060331340628,4.317296981811523,4.317296981811523,22121200,0.0,0.0
2016-06-23 00:00:00-03:00,4.402002518977234,4.462116578249055,4.366480172134784,4.432059288024902,23530400,0.0,0.0
